State,2019 Total Bottles,2020 Total Bottles,2021 Total Bottles ,Change from 2019-2020,Change From 2020-2021,Population,2019 per Capita,2020 per Capita,2021 per Capita
FL,55982,83039,78940,27057,-4099,,,,
PA,58296,82269,69633,23973,-12636,,,,
NJ,41630,61146,58595,19516,-2551,,,,
VA,22617,40033,36442,17416,-3591,,,,
OH,22530,36819,33135,14289,-3684,,,,
MD,15519,29627,28127,14108,-1500,,,,
GA,22408,34751,31757,12343,-2994,,,,
MA,32841,43708,43737,10867,29,,,,
MI,26467,36362,32593,9895,-3769,,,,
CT,14347,24133,21835,9786,-2298,,,,
NC,18865,28274,29389,9409,1115,,,,
TN,12116,20330,19166,8214,-1164,,,,
CO,20064,27877,27743,7813,-134,,,,
TX,60177,66743,61562,6566,-5181,,,,
IN,11018,17495,15852,6477,-1643,,,,
WA,12859,19239,19484,6380,245,,,,
OR,6777,11972,11954,5195,-18,,,,
SC,9518,14557,15406,5039,849,,,,
MN,10138,15070,14762,4932,-308,,,,
IL,47277,51383,42427,4106,-8956,,,,
HI,5564,9659,11102,4095,1443,,,,
AZ,12820,16375,16852,3555,477,,,,
MO,10172,13655,12297,3483,-1358,,,,
WI,10444,13792,12702,3348,-1090,,,,
ME,2160,5019,5612,2859,593,,,,
OK,1948,4681,4697,2733,16,,,,
DC,5605,8307,8050,2702,-257,,,,
RI,5216,7883,7059,2667,-824,,,,
IA,3611,5870,5888,2259,18,,,,
VT,1616,3693,3337,2077,-356,,,,
NH,4044,6027,6110,1983,83,,,,
NE,2956,4771,4763,1815,-8,,,,
AR,5111,6596,5037,1485,-1559,,,,
LA,9057,10507,8908,1450,-1599,,,,
NM,3072,4459,4023,1387,-436,,,,
WV,1541,2881,2953,1340,72,,,,
KS,5951,7175,7204,1224,29,,,,
ND,1054,2027,1787,973,-240,,,,
NV,5832,6798,6954,966,156,,,,
ID,2462,3385,3517,923,132,,,,
DE,644,1289,2053,645,764,,,,
MT,1868,2472,3063,604,591,,,,
WY,1435,1971,1999,536,28,,,,
AK,1665,2063,2070,398,7,,,,
AL,1751,2024,1229,273,-795,,,,
MS,0,6,0,6,-6,,,,
KY,52,40,853,-12,813,,,,
SD,2545,1757,1899,-788,142,,,,
CA,141601,130231,109439,-11370,-20792,,,,
NY,190825,119596,107835,-71229,-11761,,,,
