State,Population,Lockdown Start,Initial Expected Lockdown End,Phase 1 Re-Opening Start,Political Alignment
AK,"731,545",3/23/2020,3/30/2020,4/24/2020,Red
AL,"4,903,185",4/4/2020,4/30/2020,4/30/2020,Red
AR,"3,017,804",3/15/2020,3/27/2020,6/5/2020,Red
AZ,"7,278,717",4/30/2020,5/15/2020,5/18/2020,Blue
CA,"39,512,223",3/19/2020,4/2/2020,5/13/2020,Blue
CO,"5,758,736",3/26/2020,4/26/2020,4/26/2020,Blue
CT,"3,565,287",3/23/2020,4/22/2020,5/20/2020,Blue
DE,"973,764",3/24/2020,5/8/2020,5/31/2020,Blue
FL,"21,477,737",4/1/2020,5/1/2020,9/25/2020,Red
GA,"10,617,423",4/3/2020,4/30/2020,4/30/2020,Blue
HI,"1,415,872",3/23/2020,4/30/2020,5/5/2020,Blue 
IA,"3,155,070",1/1/1111,1/1/1111,1/1/1111,Red
ID,"1,787,065",3/25/2020,4/30/2020,5/1/2020,red
IL,"12,671,821",3/20/2020,3/30/2020,5/5/2020,Blue
IN,"6,732,219",3/23/2020,5/1/2020,5/1/2020,Red
KS,"2,913,314",3/30/2020,4/19/2020,5/4/2020,red
KY,"4,467,673",3/23/2020,4/27/2020,5/22/2020,Red
LA,"4,648,794",3/23/2020,4/13/2020,5/15/2020,Red
MA,"6,892,503",3/23/2020,3/31/2020,5/18/2020,blue
MD,"6,045,680",3/12/2020,3/27/2020,5/13/2020,Blue 
ME,"1,344,212",4/2/2020,4/30/2020,5/1/2020,Blue 
MI,"9,986,857",3/24/2020,4/14/2020,6/1/2020,Blue 
MN,"5,639,632",3/27/2020,5/4/2020,5/17/2020,Blue
MO,"6,137,428",4/6/2020,5/3/2020,5/3/2020,Red
MS,"2,976,149",4/3/2020,4/20/2020,4/27/2020,Red
MT,"1,068,778",3/26/2020,4/24/2020,4/27/2020,Red
NC,"10,488,084",3/30/2020,4/29/2020,5/20/2020,Red
ND,"762,062",3/27/2020,3/30/2020,5/29/2020,Red
NE,"1,934,408",4/3/2020,4/30/2020,5/4/2020,Red
NH,"1,359,711",3/27/2020,5/4/2020,5/18/2020,Blue 
NJ,"8,882,190",3/21/2020,1/1/1111,5/12/2020,Blue
NM,"2,096,829",3/13/2020,4/30/2020,5/15/2020,blue
NV,"3,080,156",4/1/2020,4/30/2020,5/9/2020,Blue
NY,"19,453,561",3/22/2020,4/6/2020,6/8/2020,blue
OH,"11,689,100",3/23/2020,5/19/2020,5/19/2020,Red
OK,"3,956,971",3/24/2020,1/1/1111,4/22/2022,Red
OR,"4,217,737",3/24/2020,3/31/2020,5/14/2020,Blue
PA,"12,801,989",3/23/2020,4/30/2020,5/15/2020,blue
RI,"1,059,361",3/28/2020,4/13/2020,5/9/2020,blue
SC,"5,148,714",4/7/2020,5/4/2020,5/4/2020,Red
SD,"884,659",1/1/1111,1/1/1111,1/1/1111,red
TN,"6,829,174",4/2/2020,4/14/2020,5/1/2020,Red
TX,"28,995,881",3/31/2020,5/4/2020,5/1/2020,Red
UT,"3,205,958",3/27/2020,4/13/2020,5/1/2020,Red
VA,"8,535,519",3/30/2020,5/15/2020,5/29/2020,Blue
VT,"623,989",3/25/2020,4/10/2020,5/15/2020,blue
WA,"7,614,893",3/24/2020,4/3/2020,5/29/2020,blue
WI,"5,822,434",3/24/2020,4/24/2020,5/26/2020,Blue
WV,"1,792,147",3/23/2020,4/4/2020,4/30/2020,Red
WY,"578,759",3/25/2020,4/3/2020,5/1/2020,Red
